"row ID","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Prediction (Churn)"
"Row31",8031,"Female",0,"No","No",19,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",24.7,465.85,"No"
"Row32",8032,"Male",1,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",85.55,5251.75,"No"
"Row33",8033,"Female",0,"Yes","No",4,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.15,99.95,"Yes"
"Row34",8034,"Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",110.75,7751.7,"No"
"Row35",8035,"Male",0,"No","No",3,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",25.1,79.8,"No"
"Row36",8036,"Female",0,"Yes","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.85,256.6,"Yes"
"Row37",8037,"Female",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",89.8,6510.45,"No"
"Row38",8038,"Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",90.35,6325.25,"No"
"Row39",8039,"Male",0,"Yes","Yes",69,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Mailed check",39.1,2779.5,"No"
"Row40",8040,"Female",0,"Yes","Yes",34,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",87.45,2874.15,"No"
"Row41",8041,"Female",0,"Yes","No",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",26.3,1763.55,"No"
"Row42",8042,"Male",0,"No","No",3,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",78.5,242.05,"Yes"
"Row43",8043,"Female",1,"Yes","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",102.05,3452.55,"No"
"Row44",8044,"Male",0,"No","No",51,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Credit card (automatic)",80,4242.35,"No"
"Row45",8045,"Male",0,"No","No",20,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",98.55,2031.95,"No"
"Row46",8046,"Female",0,"Yes","Yes",16,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",79.95,1267.95,"No"
"Row47",8047,"Female",1,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",74.4,1692.6,"No"
"Row48",8048,"Male",1,"Yes","No",70,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",105.35,7511.9,"No"
"Row49",8049,"Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"No"
"Row50",8050,"Female",0,"No","No",15,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.65,994.55,"No"
"Row51",8051,"Female",0,"No","No",11,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",35.8,363.15,"No"
"Row52",8052,"Male",0,"No","No",2,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.75,144.8,"Yes"
"Row53",8053,"Female",1,"No","No",49,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",43.8,2106.05,"No"
"Row54",8054,"Male",0,"No","No",40,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",62.05,2511.55,"No"
"Row55",8055,"Male",0,"Yes","No",56,"Yes","No","Fiber optic","No","No","No","No","No","Yes","One year","Yes","Electronic check",80.9,4557.5,"No"
"Row56",8056,"Female",1,"No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",85,85,"Yes"
"Row57",8057,"Male",0,"No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.75,324.6,"Yes"
"Row58",8058,"Male",0,"No","No",25,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",74.3,1952.25,"No"
"Row59",8059,"Male",0,"No","No",20,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",90.7,1781.35,"No"
"Row60",8060,"Male",0,"Yes","Yes",52,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.75,1345.85,"No"
"Row61",8061,"Male",0,"No","No",64,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","One year","No","Electronic check",81.25,5567.55,"No"
"Row62",8062,"Male",0,"Yes","Yes",48,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",23.55,1173.35,"No"
"Row63",8063,"Male",0,"Yes","Yes",31,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Electronic check",59.95,1848.8,"No"
"Row64",8064,"Male",0,"No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.65,338.9,"Yes"
"Row65",8065,"Female",0,"Yes","Yes",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.3,890.5,"No"
"Row66",8066,"Female",0,"Yes","No",50,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",75.7,3876.2,"No"
"Row67",8067,"Female",0,"No","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.2,273.25,"No"
"Row68",8068,"Male",0,"Yes","Yes",35,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",69.15,2490.15,"No"
"Row69",8069,"Male",1,"Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.3,2357.75,"Yes"
"Row70",8070,"Female",0,"No","No",7,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.3,523.15,"Yes"
"Row71",8071,"Male",0,"No","No",1,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Electronic check",61.15,61.15,"No"
"Row72",8072,"Female",1,"No","No",50,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",106.8,5347.95,"No"
"Row73",8073,"Male",0,"No","No",46,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Mailed check",38.25,1755.35,"No"
"Row74",8074,"Female",0,"Yes","No",20,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",82.4,1592.35,"No"
"Row75",8075,"Female",0,"Yes","Yes",41,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Month-to-month","No","Credit card (automatic)",79.9,3326.2,"No"
"Row76",8076,"Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.5,19.5,"No"
"Row77",8077,"Female",0,"No","No",2,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",80.45,137.1,"Yes"
"Row78",8078,"Female",0,"Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",80.05,80.05,"No"
"Row79",8079,"Male",0,"No","No",8,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",100.85,819.55,"No"
"Row80",8080,"Female",0,"No","No",61,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",19.45,1336.35,"No"
"Row81",8081,"Female",0,"Yes","No",53,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.85,5000.2,"No"
"Row82",8082,"Male",0,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45,96.45,"No"
"Row83",8083,"Male",0,"No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.9,74.9,"Yes"
"Row84",8084,"Male",0,"No","No",24,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.55,1210.4,"No"
"Row85",8085,"Male",0,"Yes","Yes",60,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.65,1161.75,"No"
"Row86",8086,"Male",0,"Yes","No",24,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.1,533.9,"No"
"Row87",8087,"Male",0,"Yes","No",60,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Mailed check",59.8,3561.15,"No"
"Row88",8088,"Female",1,"Yes","No",69,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","No","Credit card (automatic)",105.4,6998.95,"No"
"Row89",8089,"Female",0,"Yes","Yes",41,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",109.1,4454.25,"No"
"Row90",8090,"Female",0,"No","No",61,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",103.95,6423,"No"
"Row91",8091,"Male",0,"No","No",3,"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",82.3,214.4,"No"
"Row92",8092,"Female",0,"Yes","No",59,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",101.1,6039.9,"No"
"Row93",8093,"Male",1,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",64.8,4732.35,"No"
"Row94",8094,"Female",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",25.25,25.25,"No"
"Row95",8095,"Male",0,"No","Yes",48,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",78.75,3682.45,"No"
"Row96",8096,"Male",0,"No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",49.8,49.8,"No"
"Row97",8097,"Female",0,"No","No",6,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",50.8,288.05,"No"
"Row98",8098,"Female",1,"No","No",21,"No","No phone service","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",41.9,840.1,"Yes"
"Row99",8099,"Female",0,"Yes","Yes",64,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","One year","No","Mailed check",65.8,4068,"No"
"Row100",8100,"Male",0,"Yes","Yes",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",104.8,6597.25,"No"
"Row101",8101,"Male",0,"Yes","Yes",70,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",106.15,7475.1,"No"
"Row102",8102,"Female",0,"Yes","No",11,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",102,1145.35,"Yes"
"Row103",8103,"Female",1,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",83,5243.05,"No"
"Row104",8104,"Female",1,"No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45,127.1,"No"
"Row105",8105,"Male",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.95,174.45,"Yes"
"Row106",8106,"Female",0,"Yes","Yes",51,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",85.5,4421.95,"No"
"Row107",8107,"Male",0,"Yes","No",68,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",100.3,6754.35,"No"
"Row108",8108,"Female",0,"Yes","Yes",55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.4,1083,"No"
"Row109",8109,"Male",1,"Yes","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",100.55,4304,"No"
"Row110",8110,"Female",0,"Yes","No",57,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",104.5,5921.35,"No"
"Row111",8111,"Male",0,"Yes","No",72,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.65,6747.35,"Yes"
"Row112",8112,"Female",0,"No","No",3,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",34.8,113.95,"No"
"Row113",8113,"Male",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",110.9,8240.85,"No"
"Row114",8114,"Male",0,"No","Yes",33,"No","No phone service","DSL","Yes","No","No","Yes","No","No","One year","No","Credit card (automatic)",34.05,1113.95,"No"
"Row115",8115,"Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Bank transfer (automatic)",79.7,5743.3,"No"
"Row116",8116,"Male",0,"Yes","Yes",70,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.05,1360.25,"No"
"Row117",8117,"Female",1,"Yes","No",39,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","No","Mailed check",99.1,3877.95,"No"
"Row118",8118,"Female",0,"Yes","Yes",21,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",74.05,1565.7,"No"
"Row119",8119,"Male",0,"No","No",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.95,1399.35,"No"
"Row120",8120,"Female",0,"Yes","Yes",50,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",84.4,4116.15,"No"
"Row121",8121,"Male",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.95,19.95,"No"
"Row122",8122,"Female",0,"No","No",25,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","One year","No","Mailed check",74.3,1863.8,"No"
"Row123",8123,"Male",0,"Yes","Yes",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.6,197.4,"No"
"Row124",8124,"Female",0,"Yes","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.55,521.8,"No"
"Row125",8125,"Male",0,"No","No",20,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",88.7,1761.45,"Yes"
"Row126",8126,"Female",0,"No","No",22,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Mailed check",84.3,1855.65,"No"
"Row127",8127,"Male",1,"Yes","Yes",41,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",111.95,4534.9,"No"
"Row128",8128,"Female",0,"No","No",10,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,1058.25,"Yes"
"Row129",8129,"Female",0,"No","No",8,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","No","Mailed check",64.1,504.05,"No"
"Row130",8130,"Male",0,"Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes"
"Row131",8131,"Male",1,"No","No",25,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",88.95,2291.2,"Yes"
"Row132",8132,"Female",1,"Yes","No",60,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,6668.35,"No"
"Row133",8133,"Male",0,"Yes","Yes",4,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",50.9,225.6,"Yes"
"Row134",8134,"Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",90.4,6668.05,"No"
"Row135",8135,"Male",1,"Yes","No",53,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.9,5549.4,"Yes"
"Row136",8136,"Female",0,"No","No",11,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,837.95,"Yes"
"Row137",8137,"Female",0,"No","No",68,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",80.65,5330.2,"No"
"Row138",8138,"Male",0,"Yes","Yes",20,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",49.6,939.8,"Yes"
"Row139",8139,"Female",1,"Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",99.75,1836.25,"No"
"Row140",8140,"Male",0,"No","No",45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.4,930.45,"No"
"Row141",8141,"Male",0,"No","No",44,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",100.1,4378.35,"No"
"Row142",8142,"Male",0,"No","No",35,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",25.6,901.25,"Yes"
"Row143",8143,"Female",0,"Yes","Yes",50,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",84.15,4164.4,"No"
"Row144",8144,"Male",1,"No","No",9,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.55,718.55,"Yes"
"Row145",8145,"Male",0,"No","No",12,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",99.95,1132.75,"No"
"Row146",8146,"Male",0,"No","No",45,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",50.9,2298.55,"No"
"Row147",8147,"Female",0,"Yes","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.9,45.75,"No"
"Row148",8148,"Male",1,"Yes","No",71,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",46.35,3353.4,"No"
"Row149",8149,"Male",1,"No","No",65,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",109.05,7108.2,"No"
"Row150",8150,"Female",0,"Yes","Yes",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.5,1500.95,"No"
"Row151",8151,"Female",0,"Yes","Yes",31,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",91.15,2995.45,"Yes"
"Row152",8152,"Female",0,"No","No",63,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",24.2,1618.2,"No"
"Row153",8153,"Male",0,"No","No",37,"No","No phone service","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Mailed check",40.55,1390.85,"No"
"Row154",8154,"Male",0,"Yes","No",18,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.4,1742.95,"Yes"
"Row155",8155,"Male",0,"Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.55,185.55,"No"
"Row156",8156,"Male",0,"No","No",64,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)",84.3,5289.05,"No"
"Row157",8157,"Female",0,"Yes","No",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",95.15,2395.7,"Yes"
"Row158",8158,"Male",1,"Yes","No",60,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",97.95,5867,"No"
"Row159",8159,"Female",1,"No","No",46,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","One year","No","Credit card (automatic)",95.25,4424.2,"No"
"Row160",8160,"Female",0,"No","No",43,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",104.6,4759.85,"No"
